2025-10-24T11:15:29.258926785Z [inf]  2025-10-24 11:15:29,244 - binance_client - ERROR - Error fetching async klines for SOONUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.258932427Z [inf]  2025-10-24 11:15:29,248 - binance_client - ERROR - Error fetching async klines for 1000000BOBUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.258937965Z [inf]  2025-10-24 11:15:29,248 - binance_client - ERROR - Error fetching async klines for ICNTUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.258943989Z [inf]  2025-10-24 11:15:29,248 - binance_client - ERROR - Error fetching async klines for MUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.258949598Z [inf]  2025-10-24 11:15:29,248 - binance_client - ERROR - Error fetching async klines for PUMPBTCUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.263177765Z [inf]  2025-10-24 11:15:29,261 - binance_client - ERROR - Error fetching async klines for HUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.263183452Z [inf]  2025-10-24 11:15:29,261 - binance_client - ERROR - Error fetching async klines for DMCUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.263190799Z [inf]  2025-10-24 11:15:29,261 - binance_client - ERROR - Error fetching async klines for FUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.263196537Z [inf]  2025-10-24 11:15:29,261 - binance_client - ERROR - Error fetching async klines for TAIKOUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.269644847Z [inf]  2025-10-24 11:15:29,263 - binance_client - ERROR - Error fetching async klines for SQDUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.269654753Z [inf]  2025-10-24 11:15:29,264 - binance_client - ERROR - Error fetching async klines for ZORAUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.269661414Z [inf]  2025-10-24 11:15:29,264 - binance_client - ERROR - Error fetching async klines for IDOLUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.284785406Z [inf]  2025-10-24 11:15:29,276 - binance_client - ERROR - Error fetching async klines for SKATEUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.284799598Z [inf]  2025-10-24 11:15:29,276 - binance_client - ERROR - Error fetching async klines for AINUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.284806526Z [inf]  2025-10-24 11:15:29,280 - binance_client - ERROR - Error fetching async klines for TANSSIUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.284813239Z [inf]  2025-10-24 11:15:29,280 - binance_client - ERROR - Error fetching async klines for OLUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.284819748Z [inf]  2025-10-24 11:15:29,280 - binance_client - ERROR - Error fetching async klines for BULLAUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.292129637Z [inf]  2025-10-24 11:15:29,283 - binance_client - ERROR - Error fetching async klines for TAGUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.292136292Z [inf]  2025-10-24 11:15:29,284 - binance_client - ERROR - Error fetching async klines for ESPORTSUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.292143042Z [inf]  2025-10-24 11:15:29,284 - binance_client - ERROR - Error fetching async klines for ZRCUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.292151060Z [inf]  2025-10-24 11:15:29,284 - binance_client - ERROR - Error fetching async klines for CROSSUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.292157145Z [inf]  2025-10-24 11:15:29,284 - binance_client - ERROR - Error fetching async klines for TAUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.292163095Z [inf]  2025-10-24 11:15:29,288 - binance_client - ERROR - Error fetching async klines for TACUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:29.318298516Z [inf]  2025-10-24 11:15:29,302 - binance_client - ERROR - Error fetching async klines for PLAYUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.134993008Z [inf]  2025-10-24 11:15:30,037 - binance_client - ERROR - Error fetching async klines for FLOCKUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.135004789Z [inf]  2025-10-24 11:15:30,040 - binance_client - ERROR - Error fetching async klines for PTBUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.135011902Z [inf]  2025-10-24 11:15:30,041 - binance_client - ERROR - Error fetching async klines for AIAUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.135017936Z [inf]  2025-10-24 11:15:30,041 - binance_client - ERROR - Error fetching async klines for QUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.135023858Z [inf]  2025-10-24 11:15:30,041 - binance_client - ERROR - Error fetching async klines for UBUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.135029695Z [inf]  2025-10-24 11:15:30,055 - binance_client - ERROR - Error fetching async klines for XPINUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.135123191Z [inf]  2025-10-24 11:15:30,015 - binance_client - ERROR - Error fetching async klines for ARIAUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.135132522Z [inf]  2025-10-24 11:15:30,015 - binance_client - ERROR - Error fetching async klines for SAPIENUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.135140455Z [inf]  2025-10-24 11:15:30,019 - binance_client - ERROR - Error fetching async klines for AIOUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.135148568Z [inf]  2025-10-24 11:15:30,019 - binance_client - ERROR - Error fetching async klines for TOSHIUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.135157049Z [inf]  2025-10-24 11:15:30,019 - binance_client - ERROR - Error fetching async klines for CUDISUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.135165180Z [inf]  2025-10-24 11:15:30,032 - binance_client - ERROR - Error fetching async klines for TRADOORUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.135304723Z [inf]  2025-10-24 11:15:29,670 - binance_client - ERROR - Error fetching async klines for VELVETUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.135312854Z [inf]  2025-10-24 11:15:29,994 - binance_client - ERROR - Error fetching async klines for NAORISUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.135320447Z [inf]  2025-10-24 11:15:30,004 - binance_client - ERROR - Error fetching async klines for INUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.135328105Z [inf]  2025-10-24 11:15:30,004 - binance_client - ERROR - Error fetching async klines for TAKEUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.135335566Z [inf]  2025-10-24 11:15:30,004 - binance_client - ERROR - Error fetching async klines for CARVUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.135342584Z [inf]  2025-10-24 11:15:30,005 - binance_client - ERROR - Error fetching async klines for YALAUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.135350171Z [inf]  2025-10-24 11:15:30,009 - binance_client - ERROR - Error fetching async klines for BASUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.135358379Z [inf]  2025-10-24 11:15:30,009 - binance_client - ERROR - Error fetching async klines for DAMUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.135365886Z [inf]  2025-10-24 11:15:30,009 - binance_client - ERROR - Error fetching async klines for XNYUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.135374451Z [inf]  2025-10-24 11:15:30,009 - binance_client - ERROR - Error fetching async klines for ALLUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.135382144Z [inf]  2025-10-24 11:15:30,010 - binance_client - ERROR - Error fetching async klines for USELESSUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.135389863Z [inf]  2025-10-24 11:15:30,014 - binance_client - ERROR - Error fetching async klines for BTRUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.138929645Z [inf]  2025-10-24 11:15:30,073 - binance_client - ERROR - Error fetching async klines for COAIUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.138944123Z [inf]  2025-10-24 11:15:30,074 - binance_client - ERROR - Error fetching async klines for AKEUSDT: APIError(code=-1121): Invalid symbol.
2025-10-24T11:15:30.138954612Z [inf]  2025-10-24 11:15:30,074 - binance_client - ERROR - Error fetching async klines for BLESSUSDT: APIError(code=-1121): Invalid symbol.
